[PC Hunter Standard][IDT]: 1536
Cpu序号		序号		函数名称		段选择子		当前函数地址		Hook		原始函数地址		当前函数地址所在模块
0		A0		KiUnexpectedInterrupt112		0x02		0xFFFFF80460131780		-		0xFFFFF80460131780		C:\Windows\system32\ntoskrnl.exe
0		A1		KiUnexpectedInterrupt113		0x02		0xFFFFF80460131788		-		0xFFFFF80460131788		C:\Windows\system32\ntoskrnl.exe
0		A2		KiUnexpectedInterrupt114		0x02		0xFFFFF80460131790		-		0xFFFFF80460131790		C:\Windows\system32\ntoskrnl.exe
0		A3		KiUnexpectedInterrupt115		0x02		0xFFFFF80460131798		-		0xFFFFF80460131798		C:\Windows\system32\ntoskrnl.exe
0		A4		KiUnexpectedInterrupt116		0x02		0xFFFFF804601317A0		-		0xFFFFF804601317A0		C:\Windows\system32\ntoskrnl.exe
0		A5		KiUnexpectedInterrupt117		0x02		0xFFFFF804601317A8		-		0xFFFFF804601317A8		C:\Windows\system32\ntoskrnl.exe
0		A6		KiUnexpectedInterrupt118		0x02		0xFFFFF804601317B0		-		0xFFFFF804601317B0		C:\Windows\system32\ntoskrnl.exe
0		A7		KiUnexpectedInterrupt119		0x02		0xFFFFF804601317B8		-		0xFFFFF804601317B8		C:\Windows\system32\ntoskrnl.exe
0		A8		KiUnexpectedInterrupt120		0x02		0xFFFFF804601317C0		-		0xFFFFF804601317C0		C:\Windows\system32\ntoskrnl.exe
0		A9		KiUnexpectedInterrupt121		0x02		0xFFFFF804601317C8		-		0xFFFFF804601317C8		C:\Windows\system32\ntoskrnl.exe
0		AA		KiUnexpectedInterrupt122		0x02		0xFFFFF804601317D0		-		0xFFFFF804601317D0		C:\Windows\system32\ntoskrnl.exe
0		AB		KiUnexpectedInterrupt123		0x02		0xFFFFF804601317D8		-		0xFFFFF804601317D8		C:\Windows\system32\ntoskrnl.exe
0		AC		KiUnexpectedInterrupt124		0x02		0xFFFFF804601317E0		-		0xFFFFF804601317E0		C:\Windows\system32\ntoskrnl.exe
0		AD		KiUnexpectedInterrupt125		0x02		0xFFFFF804601317E8		-		0xFFFFF804601317E8		C:\Windows\system32\ntoskrnl.exe
0		AE		KiUnexpectedInterrupt126		0x02		0xFFFFF804601317F0		-		0xFFFFF804601317F0		C:\Windows\system32\ntoskrnl.exe
