[PC Hunter Standard][ObjectType Hook]: 384
函数名		当前函数地址		Hook		原始函数地址		Object类型		Object地址		当前函数地址所在模块
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		DxgkDisplayManagerObject		0xFFFFCD87EC9A7980		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF80463D24270		-		-		DxgkSharedSwapChainObject		0xFFFFCD87EC9A72A0		C:\Windows\System32\drivers\dxgkrnl.sys
CloseProcedure		0xFFFFF80463E56BA0		-		-		DxgkSharedSwapChainObject		0xFFFFCD87EC9A72A0		C:\Windows\System32\drivers\dxgkrnl.sys
DeleteProcedure		0xFFFFF80463E56BF0		-		-		DxgkSharedSwapChainObject		0xFFFFCD87EC9A72A0		C:\Windows\System32\drivers\dxgkrnl.sys
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		DxgkSharedSwapChainObject		0xFFFFCD87EC9A72A0		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		Controller		0xFFFFCD87EAAF44E0		C:\Windows\system32\ntoskrnl.exe
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		IoCompletionReserve		0xFFFFCD87EAA87A60		C:\Windows\system32\ntoskrnl.exe
CloseProcedure		0xFFFFF808536115B0		-		-		TmEn		0xFFFFCD87EAAF5F00		C:\Windows\System32\drivers\tm.sys
DeleteProcedure		0xFFFFF80853611700		-		-		TmEn		0xFFFFCD87EAAF5F00		C:\Windows\System32\drivers\tm.sys
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		TmEn		0xFFFFCD87EAAF5F00		C:\Windows\system32\ntoskrnl.exe
OpenProcedure		0xFFFFF80463C157C0		-		-		DxgkCompositionObject		0xFFFFCD87EC9A64E0		C:\Windows\System32\drivers\dxgkrnl.sys
CloseProcedure		0xFFFFF80463C15C70		-		-		DxgkCompositionObject		0xFFFFCD87EC9A64E0		C:\Windows\System32\drivers\dxgkrnl.sys
DeleteProcedure		0xFFFFF80463C16A30		-		-		DxgkCompositionObject		0xFFFFCD87EC9A64E0		C:\Windows\System32\drivers\dxgkrnl.sys
SeDefaultObjectMethod		0xFFFFF8046049EE60		-		-		DxgkCompositionObject		0xFFFFCD87EC9A64E0		C:\Windows\system32\ntoskrnl.exe
OkayToCloseProcedure		0xFFFFF80463C15A80		-		-		DxgkCompositionObject		0xFFFFCD87EC9A64E0		C:\Windows\System32\drivers\dxgkrnl.sys
